14:52:21.975728 config: drop-rate=0.00, max-delay=0s, seed=1511571141975728800
14:52:21.976728 router is listening at :3000
14:52:26.242061 [queue=0] packet #0, 127.0.0.1:59900 -> 127.0.0.1:80, sz=1013 is delivered
14:52:26.250313 [queue=0] packet #0, 127.0.0.1:59900 -> 127.0.0.1:80, sz=1013 is delivered
14:54:04.380624 config: drop-rate=0.00, max-delay=0s, seed=1511571244380097500
14:54:04.382098 router is listening at :3000
14:54:15.361427 [queue=0] packet #0, 127.0.0.1:56629 -> 127.0.0.1:80, sz=1013 is delivered
14:54:39.062525 [queue=0] packet #0, 127.0.0.1:51180 -> 127.0.0.1:80, sz=1013 is delivered
14:54:56.153712 [queue=0] packet #0, 127.0.0.1:63400 -> 127.0.0.1:80, sz=1013 is delivered
14:54:56.211128 [queue=0] packet #0, 127.0.0.1:63400 -> 127.0.0.1:80, sz=1013 is delivered
14:56:20.433443 [queue=0] packet #0, 127.0.0.1:65050 -> 127.0.0.1:80, sz=1013 is delivered
14:56:36.310148 [queue=0] packet #0, 127.0.0.1:65066 -> 127.0.0.1:80, sz=1013 is delivered
14:57:02.579727 [queue=0] packet #0, 127.0.0.1:53478 -> 127.0.0.1:80, sz=1013 is delivered
14:58:00.588394 [queue=0] packet #0, 127.0.0.1:51984 -> 127.0.0.1:80, sz=1013 is delivered
14:58:26.538976 [queue=0] packet #0, 127.0.0.1:51985 -> 127.0.0.1:80, sz=1013 is delivered
14:58:35.794986 [queue=0] packet #0, 127.0.0.1:63172 -> 127.0.0.1:80, sz=1013 is delivered
14:59:18.239895 [queue=0] packet #0, 127.0.0.1:57207 -> 127.0.0.1:80, sz=1013 is delivered
14:59:18.246899 [queue=0] packet #1, 127.0.0.1:80 -> 127.0.0.1:57207, sz=1013 is delivered
14:59:18.247916 [queue=0] packet #0, 127.0.0.1:57207 -> 127.0.0.1:80, sz=1013 is delivered
14:59:45.977692 [queue=0] packet #0, 127.0.0.1:63290 -> 127.0.0.1:80, sz=1013 is delivered
14:59:55.597814 [queue=0] packet #0, 127.0.0.1:63347 -> 127.0.0.1:80, sz=1013 is delivered
14:59:55.626994 [queue=0] packet #1, 127.0.0.1:80 -> 127.0.0.1:63347, sz=1013 is delivered
14:59:55.627992 [queue=0] packet #0, 127.0.0.1:63347 -> 127.0.0.1:80, sz=1013 is delivered
15:00:28.333006 [queue=0] packet #0, 127.0.0.1:63348 -> 127.0.0.1:80, sz=1013 is delivered
15:00:32.249745 [queue=0] packet #0, 127.0.0.1:63534 -> 127.0.0.1:80, sz=1013 is delivered
15:00:49.711168 [queue=0] packet #0, 127.0.0.1:63535 -> 127.0.0.1:80, sz=1013 is delivered
15:00:49.766490 [queue=0] packet #1, 127.0.0.1:80 -> 127.0.0.1:63535, sz=1013 is delivered
15:00:49.767488 [queue=0] packet #0, 127.0.0.1:63535 -> 127.0.0.1:80, sz=1013 is delivered
15:02:16.206904 [queue=0] packet #0, 127.0.0.1:51968 -> 127.0.0.1:80, sz=1013 is delivered
15:02:16.247101 [queue=0] packet #1, 127.0.0.1:80 -> 127.0.0.1:51968, sz=1013 is delivered
15:02:16.249104 [queue=0] packet #0, 127.0.0.1:51968 -> 127.0.0.1:80, sz=1013 is delivered
15:02:46.943938 [queue=0] packet #0, 127.0.0.1:58604 -> 127.0.0.1:80, sz=1013 is delivered
15:02:46.988939 [queue=0] packet #1, 127.0.0.1:80 -> 127.0.0.1:58604, sz=1013 is delivered
15:02:46.989939 [queue=0] packet #0, 127.0.0.1:58604 -> 127.0.0.1:80, sz=1013 is delivered
15:03:33.312445 [queue=0] packet #0, 127.0.0.1:60535 -> 127.0.0.1:80, sz=1013 is delivered
15:03:33.323947 [queue=0] packet #1, 127.0.0.1:80 -> 127.0.0.1:60535, sz=1013 is delivered
15:03:33.325947 [queue=0] packet #0, 127.0.0.1:60535 -> 127.0.0.1:80, sz=1013 is delivered
15:03:50.974787 [queue=0] packet #0, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:50.984815 [queue=0] packet #1, 127.0.0.1:80 -> 127.0.0.1:57584, sz=1013 is delivered
15:03:50.986785 [queue=0] packet #0, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:50.993782 [queue=0] packet #0, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:50.997785 [queue=0] packet #1, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:51.000784 [queue=0] packet #2, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:52.013111 [queue=0] packet #0, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:52.019110 [queue=0] packet #1, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:52.022107 [queue=0] packet #2, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:53.052919 [queue=0] packet #0, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:53.059418 [queue=0] packet #1, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:53.061918 [queue=0] packet #2, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:54.091351 [queue=0] packet #0, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:54.096707 [queue=0] packet #1, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:54.101706 [queue=0] packet #2, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:55.145927 [queue=0] packet #0, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:55.154120 [queue=0] packet #1, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:55.159121 [queue=0] packet #2, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:56.189449 [queue=0] packet #0, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
15:03:56.194445 [queue=0] packet #1, 127.0.0.1:57584 -> 127.0.0.1:80, sz=1013 is delivered
